fr_0	0
fr_1	0
fr_2	1
fr_3	0
fr_4	0
fr_5	1
fr_6	1
fr_7	1
fr_8	0
fr_9	1
fr_10	0
fr_11	1
fr_12	0
fr_13	0
fr_14	1
fr_15	1
fr_16	0
fr_17	1
fr_18	0
fr_19	1
fr_20	1
fr_21	0
fr_22	1
fr_23	0
fr_24	1
fr_25	1
fr_26	0
fr_27	0
fr_28	0
fr_29	1
fr_30	1
fr_31	0
fr_32	0
fr_33	1
fr_34	1
fr_35	0
fr_36	1
fr_37	1
fr_38	1
fr_39	0
fr_40	1
fr_41	1
fr_42	0
fr_43	1
fr_44	0
fr_45	1
fr_46	0
fr_47	0
fr_48	1
fr_49	0
fr_50	1
fr_51	0
fr_52	0
fr_53	1
fr_54	0
fr_55	0
fr_56	1
fr_57	0
fr_58	1
fr_59	1
fr_60	1
fr_61	1
fr_62	0
fr_63	0
fr_64	0
fr_65	0
fr_66	1
fr_67	1
fr_68	1
fr_69	0
fr_70	1
fr_71	1
fr_72	0
fr_73	1
fr_74	1
fr_75	0
fr_76	0
fr_77	0
fr_78	0
fr_79	0
fr_80	0
fr_81	1
fr_82	1
fr_83	0
fr_84	0
fr_85	1
fr_86	0
fr_87	1
fr_88	0
fr_89	0
fr_90	0
fr_91	1
fr_92	1
fr_93	1
fr_94	1
fr_95	1
fr_96	0
fr_97	1
fr_98	0
fr_99	0
fr_100	1
fr_101	0
fr_102	1
fr_103	1
fr_104	1
fr_105	1
fr_106	0
fr_107	0
fr_108	1
fr_109	0
fr_110	0
fr_111	1
fr_112	1
fr_113	1
fr_114	0
fr_115	1
fr_116	1
fr_117	1
fr_118	0
fr_119	0
fr_120	0
fr_121	0
fr_122	1
fr_123	1
fr_124	1
fr_125	1
fr_126	1
fr_127	0
fr_128	0
fr_129	0
fr_130	0
fr_131	0
fr_132	1
fr_133	1
fr_134	1
fr_135	0
fr_136	0
fr_137	1
fr_138	1
fr_139	1
fr_140	0
fr_141	1
fr_142	1
fr_143	1
fr_144	0
fr_145	1
fr_146	1
fr_147	0
fr_148	1
fr_149	1
fr_150	0
fr_151	0
fr_152	1
fr_153	0
fr_154	0
fr_155	0
fr_156	0
fr_157	1
fr_158	0
fr_159	1
fr_160	0
fr_161	1
fr_162	1
fr_163	0
fr_164	1
fr_165	0
fr_166	0
fr_167	0
fr_168	1
fr_169	1
fr_170	0
fr_171	0
fr_172	1
fr_173	0
fr_174	0
fr_175	0
fr_176	1
fr_177	1
fr_178	1
fr_179	0
fr_180	1
fr_181	0
fr_182	0
fr_183	1
fr_184	0
fr_185	0
fr_186	0
fr_187	1
